ACIDOS GRASOS,125,85,8,0,0,0,0,0,0
ALFALFA HENO,20,88.5,2.15,14.78,26.2,1.3,0.18,9.6,31
HENO 1 CORTE,15,85.9,1.74,10.4,28,1,0.15,5.8,34.4
MAIZ ENSILAJE,5.3,32,0.8,2.47,8.15,0.16,0.07,1.7,17
PELON ALMENDRA,12,86,1.97,0,16,0,0,1.8,18.9
MAIZ GLUTEN,6.33,36,0.97,7.67,4.4,0.05,0.07,5.8,19.8
MAIZ GRANO,48,86.6,2.59,7.01,1.64,0.06,0.26,3.9,12.1
PESCADO HARINA,150,92,3,65.5,1,3.75,2.49,59,0.9
RAPS AFRECHO,55,91,2.56,37.3,11.74,0.6,0.94,26.1,21.8
ALFALFA VERDE,2.5,20,0.45,3.4,5.2,0.24,0.12,2,8
MELAZAN,25.5,78.9,2.29,9.86,0,0.55,0.02,9.9,0
TREBOL HENO,13,88,1.95,13,25,1.49,0.25,7.2,49.3
TREBOL PAJA,4,90.6,1.34,5.9,33,0,0,2.7,67
TRIGO HARINILLA,32,89.2,2.3,13.5,12,0.11,0.78,10.1,30.8
TRIGO PAJA,10,89,1.26,2.37,39.76,0.42,0.02,0.7,59.4
UREA,82,94,0,281,0,0,0,281,0
GUANO DE CERDO,1,50,0.75,5,22,0.05,1,3.8,15
AVENA CASCARA,4,91.1,1.32,4.01,32.15,0,0,3,71
FOSFATRICALC,35,95,0,0,0,24,12,0,0
AVENA VERDE,3.2,22.5,0.55,1.7,6.2,0.11,0.05,0.8,5.4
MAIZ C/CORONTA,39.4,87.8,3.03,8.71,8.06,0.03,0.1,7,39.5
CAMA BROILER,6,77.6,1.08,15.59,21,1.3,0.54,13.3,34.9
TRITICALE,35.5,91.1,2.72,12.02,2.64,0.34,0.37,8.8,18.2
AVENA ENSILAJE,3.35,20.4,0.5,2.16,8.12,0.1,0.05,1.7,9.7
AVENA GRANO,30,88,2.25,7.9,11.5,0.17,0.25,6.3,31.7
